DateTime,Open,High,Low,Close,Volume
2011-03-23 13:49:00,115.050,115.050,115.050,115.050,7
2011-03-23 13:51:00,115.025,115.025,115.025,115.025,1
2011-03-23 13:52:00,115.075,115.075,115.075,115.075,5
2011-03-23 13:53:00,115.100,115.175,115.100,115.175,53
2011-03-23 13:54:00,115.175,115.225,115.175,115.225,8
2011-03-23 13:55:00,115.200,115.225,115.200,115.225,7
2011-03-23 13:56:00,115.250,115.250,115.250,115.250,3
2011-03-23 13:57:00,115.200,115.350,115.200,115.350,16
2011-03-23 13:58:00,115.425,115.475,115.400,115.475,14
2011-03-23 13:59:00,115.500,115.500,115.325,115.325,22
2011-03-23 14:00:00,115.325,115.325,115.250,115.275,37
2011-03-23 14:01:00,115.275,115.275,115.250,115.250,55
2011-03-23 14:02:00,115.225,115.300,115.225,115.300,4
2011-03-23 14:03:00,115.250,115.250,115.250,115.250,2
2011-03-23 14:04:00,115.250,115.250,115.175,115.175,23
2011-03-23 14:05:00,115.150,115.150,115.150,115.150,2
2011-03-23 14:08:00,115.175,115.175,115.175,115.175,7
2011-03-23 14:15:00,115.125,115.125,115.075,115.075,10
2011-03-23 14:16:00,115.050,115.050,114.900,114.900,8
2011-03-23 14:17:00,115.100,115.150,115.100,115.150,12
2011-03-23 14:18:00,115.150,115.175,115.150,115.150,14
2011-03-23 14:19:00,115.150,115.200,115.125,115.200,7
2011-03-23 14:31:00,115.175,115.175,115.175,115.175,2
2011-03-23 14:38:00,115.200,115.200,115.175,115.200,9
2011-03-23 14:47:00,115.150,115.150,115.150,115.150,1
2011-03-23 14:52:00,115.125,115.125,115.125,115.125,2
2011-03-23 14:53:00,115.125,115.125,115.125,115.125,1
2011-03-23 15:01:00,115.125,115.125,115.125,115.125,7
2011-03-23 15:04:00,115.125,115.125,115.125,115.125,1
2011-03-23 15:07:00,115.175,115.175,115.175,115.175,3
2011-03-23 15:08:00,115.250,115.250,115.250,115.250,19
2011-03-23 15:12:00,115.275,115.275,115.275,115.275,4
2011-03-23 15:13:00,115.275,115.275,115.275,115.275,6
2011-03-23 15:35:00,115.300,115.300,115.300,115.300,1
2011-03-23 15:36:00,115.225,115.225,115.225,115.225,1
2011-03-23 15:45:00,115.350,115.350,115.350,115.350,1
2011-03-23 15:46:00,115.250,115.250,115.250,115.250,1
2011-03-23 15:51:00,115.225,115.225,115.225,115.225,18
2011-03-23 15:52:00,115.225,115.225,115.225,115.225,1
2011-03-23 15:57:00,115.125,115.125,115.125,115.125,1
2011-03-23 16:03:00,115.125,115.125,115.125,115.125,1
2011-03-23 16:04:00,115.100,115.100,115.100,115.100,5
2011-03-23 16:05:00,115.050,115.050,114.950,114.950,24
2011-03-23 16:06:00,114.950,114.950,114.950,114.950,4
2011-03-23 16:13:00,115.100,115.100,115.100,115.100,1
2011-03-23 16:36:00,115.100,115.100,115.100,115.100,2
2011-03-23 16:49:00,115.175,115.175,115.175,115.175,1
2011-03-23 16:52:00,115.300,115.300,115.300,115.300,7
2011-03-23 16:55:00,115.325,115.325,115.325,115.325,4
2011-03-23 16:56:00,115.250,115.250,115.250,115.250,2
2011-03-23 18:01:00,115.250,115.250,115.250,115.250,2
2011-03-23 18:09:00,115.250,115.250,115.250,115.250,4
2011-03-23 18:10:00,115.275,115.275,115.275,115.275,1
2011-03-23 18:14:00,115.250,115.250,115.250,115.250,7
2011-03-23 18:16:00,115.300,115.300,115.300,115.300,1
2011-03-23 18:17:00,115.300,115.300,115.300,115.300,4
2011-03-23 18:18:00,115.300,115.325,115.300,115.325,2
2011-03-23 18:38:00,115.225,115.225,115.200,115.200,3
2011-03-23 19:11:00,115.375,115.375,115.375,115.375,1
2011-03-23 19:16:00,115.400,115.400,115.400,115.400,9
2011-03-23 19:19:00,115.425,115.425,115.425,115.425,4
2011-03-23 19:30:00,115.425,115.425,115.425,115.425,1
2011-03-23 19:31:00,115.425,115.425,115.425,115.425,1
2011-03-23 19:34:00,115.400,115.400,115.400,115.400,1
2011-03-23 19:58:00,115.325,115.425,115.325,115.425,3
2011-03-23 19:59:00,115.450,115.450,115.425,115.450,6
2011-03-23 20:04:00,115.450,115.450,115.450,115.450,4
2011-03-24 00:04:00,115.300,115.300,115.225,115.225,4
2011-03-24 04:11:00,115.475,115.475,115.475,115.475,2
2011-03-24 04:25:00,115.475,115.475,115.475,115.475,1
2011-03-24 04:58:00,115.500,115.500,115.500,115.500,10
2011-03-24 05:01:00,115.525,115.525,115.525,115.525,1
2011-03-24 05:54:00,115.550,115.550,115.550,115.550,3
2011-03-24 05:55:00,115.550,115.550,115.550,115.550,3
2011-03-24 05:56:00,115.550,115.550,115.550,115.550,5
2011-03-24 07:52:00,115.550,115.550,115.550,115.550,5
2011-03-24 08:07:00,115.600,115.600,115.600,115.600,10
2011-03-24 08:09:00,115.625,115.625,115.625,115.625,1
2011-03-24 08:21:00,115.625,115.625,115.625,115.625,2
2011-03-24 08:23:00,115.575,115.575,115.575,115.575,1
2011-03-24 08:49:00,115.625,115.650,115.625,115.650,20
2011-03-24 08:53:00,115.700,115.700,115.675,115.675,2
2011-03-24 09:16:00,115.650,115.650,115.650,115.650,2
2011-03-24 09:20:00,115.725,115.725,115.725,115.725,1
2011-03-24 09:22:00,115.750,115.750,115.750,115.750,5
2011-03-24 09:23:00,115.675,115.675,115.675,115.675,1
2011-03-24 09:25:00,115.700,115.700,115.650,115.650,2
2011-03-24 09:27:00,115.750,115.750,115.725,115.750,20
2011-03-24 09:28:00,115.750,115.750,115.750,115.750,1
2011-03-24 09:29:00,115.700,115.700,115.700,115.700,5
